topo,seed,flowNum,cc,randOffset,slots,multiFactor,state,maxFctNs,avgFctNs,makespanNs,dropPkts,linkUtil
fat,100,10,dcqcn,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,100,1,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,1000,1,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,100,10,dcqcn,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,101,10,hp,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,101,10,hp,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,101,10,hp,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,101,10,hp,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,101,10,hp,1,100,1,-1,-1,-1,-1,-1,-1
fat,101,10,hp,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,101,10,hp,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,101,10,hp,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,101,10,hp,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,101,10,hp,1,1000,1,-1,-1,-1,-1,-1,-1
fat,101,10,hp,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,101,10,hp,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
