src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000301,0b000101,10000,100,442622950,0,567429893,37113668,567429893
0b000801,0b000101,10000,100,442622950,0,584372686,37113668,584372686
0b000901,0b000101,10000,100,442622950,0,587332936,37113668,587332936
0b000501,0b000101,10000,100,442622950,0,596607413,37113668,596607413
0b000701,0b000101,10000,100,442622950,0,598145907,37113668,598145907
0b000f01,0b000101,10000,100,442622950,0,598306207,37113668,598306207
0b000d01,0b000101,10000,100,442622950,0,600545542,37113668,600545542
0b000c01,0b000101,10000,100,442622950,0,603939899,37113668,603939899
0b000401,0b000101,10000,100,442622950,0,606040398,37113668,606040398
0b000e01,0b000101,10000,100,442622950,0,606332584,37113668,606332584
0b000a01,0b000101,10000,100,442622950,0,606919992,37113668,606919992
0b000601,0b000101,10000,100,442622950,0,607171078,37113668,607171078
0b000b01,0b000101,10000,100,442622950,0,607343239,37113668,607343239
0b000201,0b000101,10000,100,442622950,0,607441110,37113668,607441110
0b000001,0b000101,10000,100,442622950,0,607543833,37113668,607543833
