src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000001,0b000101,10000,100,442622950,0,36741796,37113668,36741796
0b000201,0b000101,10000,100,442622950,37409836,36741796,37113668,74151632
0b000301,0b000101,10000,100,442622950,74819672,36741796,37113668,111561468
0b000401,0b000101,10000,100,442622950,112229508,36741796,37113668,148971304
0b000501,0b000101,10000,100,442622950,149639344,36741796,37113668,186381140
0b000601,0b000101,10000,100,442622950,187049180,36741796,37113668,223790976
0b000701,0b000101,10000,100,442622950,224459016,36741796,37113668,261200812
0b000801,0b000101,10000,100,442622950,261868852,36741796,37113668,298610648
0b000901,0b000101,10000,100,442622950,299278688,36741796,37113668,336020484
0b000a01,0b000101,10000,100,442622950,336688524,36741796,37113668,373430320
0b000b01,0b000101,10000,100,442622950,374098360,36741796,37113668,410840156
0b000c01,0b000101,10000,100,442622950,411508196,36741796,37113668,448249992
0b000d01,0b000101,10000,100,442622950,448918032,36741796,37113668,485659828
0b000e01,0b000101,10000,100,442622950,486327868,36741796,37113668,523069664
0b000f01,0b000101,10000,100,442622950,523737704,36741796,37113668,560479500
