state,topo,seed,flowNum,cc,randOffset,algo,params,maxFctNs,avgFctNs,mkspanJobNs,mkspanAllNs,dropPkts,linkUtil,runtimeS
1,fat,500,3,dcqcn,0,-1,-1.0,112470868,111261014.33333331,112470868,112470868,-1,-1,352.11
1,fat,600,16,dcqcn,0,-1,-1.0,590050843,575590944.0625,582890414 588476879 586149640 590050843,590050868,-1,-1,555.26
1,fat,601,16,dcqcn,0,-1,-1.0,589455453,579086312.4375,587589624 584159536 589455453 587004150,589455485,-1,-1,570.7
1,fat,602,16,dcqcn,0,-1,-1.0,590347069,578242659.25,585805946 580365356 590347093 588602009,590347142,-1,-1,562.73
1,fat,603,16,dcqcn,1,bstSltNumLnspdSlt,,622375910,534663779.8125,590773450 587375984 555510094 585037540,590773497,-1,-1,556.93
1,fat,604,16,dcqcn,1,bstSltNumLnspdSlt,,652554110,557977245.5,551183020 589805942 556788729 588937114,589805942,-1,-1,562.26
1,fat,605,16,dcqcn,1,bstSltNumLnspdSlt,,613739743,536591631.9375,587125790 522592279 582227181 561659363,592592313,-1,-1,579.7
1,fat,606,16,hp,0,-1,-1.0,594063350,582763242.375,584592272 589503864 594063360 589681003,594063430,-1,-1,607.96
1,fat,607,16,hp,0,-1,-1.0,590914178,583782093.5625,589464810 582840408 590914178 587978559,590914181,-1,-1,638.79
1,fat,608,16,hp,0,-1,-1.0,592591338,582724844.8125,585768752 590709652 592591377 589441857,592591377,-1,-1,604.86
1,fat,609,16,hp,1,bstSltNumLnspdSlt,,634880427,544981036.3125,551555701 539740248 590311251 595873499,595873510,-1,-1,791.06
1,fat,610,16,hp,1,bstSltNumLnspdSlt,,610749984,531670291.375,589129806 590445519 559320895 538836648,594320925,-1,-1,972.09
1,fat,611,16,hp,1,bstSltNumLnspdSlt,,617995629,530656954.375,590632835 556237022 546913552 556685071,591685061,-1,-1,2466.65
1,fat,612,16,dctcp,0,-1,-1.0,609320580,589963681.25,609320580 601085521 606921850 607788853,609320620,-1,-1,695.41
1,fat,613,16,dctcp,0,-1,-1.0,613047033,591318715.0625,595083853 599031673 610461106 613047033,613047038,-1,-1,703.81
1,fat,614,16,dctcp,0,-1,-1.0,610187004,592142738.5,607854413 609883699 610187004 598245954,610187018,-1,-1,863.28
1,fat,615,16,dctcp,1,bstSltNumLnspdSlt,,669234623,565951257.75,632164018 634677350 571952972 634234660,634677371,-1,-1,816.72
1,fat,616,16,dctcp,1,bstSltNumLnspdSlt,,682837258,592625286.75,607807915 604758408 613173851 612837313,613173875,-1,-1,772.2
1,fat,617,16,dctcp,1,bstSltNumLnspdSlt,,673211489,567312035.125,603211565 603692543 605370591 605634330,605634330,-1,-1,776.63
1,fat,618,16,timely,0,-1,-1.0,594137910,584534569.9375,594137971 588917629 592453953 592468031,594137977,-1,-1,812.68
1,fat,619,16,timely,0,-1,-1.0,594421998,585179989.125,589982093 588588211 594422014 593376675,594422043,-1,-1,860.08
1,fat,620,16,timely,0,-1,-1.0,594358364,589114695.1875,591458200 592335203 594358364 593074538,594358364,-1,-1,835.83
1,fat,621,16,timely,1,bstSltNumLnspdSlt,,610663901,544774574.3125,595874719 595411446 553084562 592188627,595874719,-1,-1,789.08
1,fat,622,16,timely,1,bstSltNumLnspdSlt,,608925182,531808587.875,591400688 596072682 559873305 524517873,596072698,-1,-1,711.57
1,fat,623,16,timely,1,bstSltNumLnspdSlt,,626364547,540083032.1875,586546149 595902369 594750371 521364615,595902369,-1,-1,842.37
1,fat,624,16,hpccPint,0,-1,-1.0,624526401,623617120.375,624526481 624473857 624459120 624299824,624526491,-1,-1,725.85
1,fat,625,16,hpccPint,0,-1,-1.0,624529974,623722425.9375,624467081 624460248 624456976 624529974,624529974,-1,-1,710.4
1,fat,626,16,hpccPint,0,-1,-1.0,624537379,623548101.375,624537379 624070922 624231646 624536218,624537379,-1,-1,684.85
1,fat,627,16,hpccPint,1,bstSltNumLnspdSlt,,635532980,564743681.5,589323501 588984095 624548480 589548550,624548585,-1,-1,716.17
1,fat,628,16,hpccPint,1,bstSltNumLnspdSlt,,654777808,578349098.625,586337475 585576626 589567001 624243851,624567081,-1,-1,708.65
