state,topo,seed,flowNum,cc,randOffset,slots,multiFactor,maxFctNs,avgFctNs,makespanNs,dropPkts,linkUtil,runtimeS
1,fat,100,10,dcqcn,0,-1,-1.0,370067177,360892671.8,370067177 363313968 367387580,-1,-1,0.0
1,fat,100,10,dcqcn,1,3,0.5,317581542,309186997.1,368362125 364073108 370938331,-1,-1,0.0
1,fat,100,10,dcqcn,1,3,0.7,205786574,187538771.6,369786574 369484868 359867447,-1,-1,0.0
1,fat,100,10,dcqcn,1,3,1.0,279721368,230668241.8,369525927 368609030 334402320,-1,-1,0.0
1,fat,101,10,hp,0,-1,-1.0,371373487,362928617.7,371373487 364793705 370103069,-1,-1,0.0
1,fat,100,10,hp,1,3,0.2,350009979,333511475.6,365655525 368321171 373186382,-1,-1,0.0
1,fat,100,10,hp,1,3,0.3,309512035,276543352.1,335158394 333831996 370566005,-1,-1,0.0
1,fat,100,10,hp,1,3,0.4,280360224,257122826.7,316955163 374360224 370613035,-1,-1,0.0
1,fat,100,10,hp,1,3,0.5,311116214,261066290.1,357249910 311116214 318113476,-1,-1,0.0
1,fat,100,10,hp,1,3,0.55,312568738,282096596.6,352408252 378440339 376145375,-1,-1,0.0
1,fat,100,10,hp,1,3,0.6,294461897,242269005.8,322194449 337799561 396497575,-1,-1,0.0
1,fat,100,10,hp,1,3,0.65,291582480,261637824.4,369208814 339767587 376535266,-1,-1,0.0
1,fat,101,10,hp,1,3,0.7,250339292,204266454.2,291723378 332339292 324141256,-1,-1,0.0
1,fat,100,10,hp,1,3,0.8,215904285,173718848.8,389196117 384701113 299201959,-1,-1,0.0
1,fat,101,10,hp,1,3,1.0,193862134,138854711.7,413898068 422781754 429862134,-1,-1,0.0
1,fat,102,10,dctcp,0,-1,-1.0,377946192,369920131.2,377946192 369240166 375434580,-1,-1,0.0
1,fat,100,10,dctcp,1,3,0.1,378222309,337160029.1,378222309 375184056 376485271,-1,-1,0.0
1,fat,100,10,dctcp,1,3,0.2,375910713,331311975.2,375910713 375639392 341141410,-1,-1,0.0
1,fat,100,10,dctcp,1,3,0.3,404703020,327345105.9,395827136 401215587 404703020,-1,-1,0.0
1,fat,100,10,dctcp,1,3,0.5,326284609,245546205.5,381793315 385284609 321874478,-1,-1,0.0
1,fat,100,10,dctcp,1,3,0.525,310922205,282478847.4,323171912 333040933 385288521,-1,-1,0.0
1,fat,100,10,dctcp,1,3,0.55,329262080,302315175.8,378194962 376766340 381682109,-1,-1,0.0
1,fat,100,10,dctcp,1,3,0.575,334430655,279109497.6,379895495 379471161 382197513,-1,-1,0.0
1,fat,100,10,dctcp,1,3,0.6,259764167,218020642.1,385251094 386469812 315002268,-1,-1,0.0
1,fat,100,10,dctcp,1,3,0.65,306629820,276104774.8,374944848 373317407 376198500,-1,-1,0.0
1,fat,102,10,dctcp,1,3,0.7,301609731,265503403.1,382055393 381617395 382497621,-1,-1,0.0
1,fat,102,10,dctcp,1,3,1.0,179607150,163928769.7,398247172 280106552 398585567,-1,-1,0.0
1,fat,103,10,timely,0,-1,-1.0,371408530,366642686.2,368121231 371408530 370849799,-1,-1,0.0
1,fat,100,10,timely,1,3,0.1,359561706,348878211.7,368073085 359017204 371561706,-1,-1,0.0
1,fat,100,10,timely,1,3,0.2,340991290,320693456.4,372210923 346923232 365379398,-1,-1,0.0
1,fat,100,10,timely,1,3,0.225,345408219,330681409.2,371124756 369631778 371408219,-1,-1,0.0
1,fat,100,10,timely,1,3,0.25,325428777,311110969.9,372150575 350869390 369193954,-1,-1,0.0
1,fat,100,10,timely,1,3,0.275,340208007,326094097.4,371182907 371249900 361467750,-1,-1,0.0
1,fat,100,10,timely,1,3,0.3,322448023,297578946.1,333882462 336940252 271458938,-1,-1,0.0
1,fat,100,10,timely,1,3,0.5,275948678,245910111.1,333194881 334948678 392702971,-1,-1,0.0
1,fat,100,10,timely,1,3,0.6,231662764,189074719.1,371412611 366187381 302662764,-1,-1,0.0
1,fat,103,10,timely,1,3,0.7,258288305,224734366.9,332128532 368386552 372824737,-1,-1,0.0
1,fat,103,10,timely,1,3,1.0,186827522,140765661.9,422827522 420388657 303720309,-1,-1,0.0
1,fat,104,10,hpccPint,0,-1,-1.0,390552587,389836985.9,390360118 390552587 389833876,-1,-1,0.0
1,fat,100,10,hpccPint,1,3,0.3,320394037,299991399.5,390015868 390394037 355194414,-1,-1,0.0
1,fat,100,10,hpccPint,1,3,0.5,293597605,260871041.4,330311464 389332818 390338401,-1,-1,0.0
1,fat,100,10,hpccPint,1,3,0.6,338323363,321049113.5,390501232 383499069 382167217,-1,-1,0.0
1,fat,104,10,hpccPint,1,3,0.7,274326514,243325177.9,390304576 390269362 390171097,-1,-1,0.0
1,fat,104,10,hpccPint,1,3,1.0,195131122,147681393.7,312391922 431131122 313005192,-1,-1,0.00
