state,topo,seed,flowNum,cc,randOffset,slots,multiFactor,maxFctNs,avgFctNs,mkspanJobNs,mkspanAllNs,dropPkts,linkUtil,runtimeS
1,fat,300,10,dcqcn,0,-1,-1,369997025,359391087.7,366731922 369997076 358410391,369997077,-1,-1,1077.61
1,fat,301,10,dcqcn,0,-1,-1,372934817,357341606.1,365129075 372934817 365715372,372934817,-1,-1,976.97
1,fat,302,10,dcqcn,0,-1,-1,373200112,363328094.3,373200163 363752230 366637978,373200166,-1,-1,966.56
1,fat,303,10,hp,0,-1,-1,370028314,364871249.7,370028345 367858831 365630158,370028366,-1,-1,993.05
1,fat,304,10,hp,0,-1,-1,373197115,362405671.2,363770728 373197152 371859266,373197189,-1,-1,1044.42
1,fat,305,10,hp,0,-1,-1,372035198,362466552.4,362396927 369279296 372035234,372035241,-1,-1,1069.75
1,fat,306,10,dctcp,0,-1,-1,382388064,375938203.7,379681981 382388102 374252614,382388102,-1,-1,1026.21
1,fat,307,10,dctcp,0,-1,-1,382987971,374748866.2,382987971 375804543 379372815,382987971,-1,-1,1044.93
1,fat,308,10,dctcp,0,-1,-1,382104211,373695989.2,374310003 379131784 382104211,382104211,-1,-1,967.52
1,fat,309,10,timely,0,-1,-1,374536269,368050697.6,370728887 374536296 372568363,374536315,-1,-1,986.86
1,fat,310,10,timely,0,-1,-1,373500321,366820738.4,373307790 372292964 373500356,373500376,-1,-1,982.6
1,fat,311,10,timely,0,-1,-1,374408092,369067120.6,372659307 374408122 373804756,374408168,-1,-1,996.85
1,fat,312,10,hpccPint,0,-1,-1,390576594,389506462.7,390576594 390316433 390487430,390576594,-1,-1,991.12
1,fat,313,10,hpccPint,0,-1,-1,390574719,389416293.7,390063987 390233368 390574763,390574763,-1,-1,1106.35
1,fat,314,10,hpccPint,0,-1,-1,390567893,389744746.5,390567940 390146821 390305962,390567972,-1,-1,1092.92
0,fat,315,16,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
1,fat,316,16,dcqcn,0,-1,-1,589637863,580017735.3125,587558657 589619072 587621231 589637895,589637927,-1,-1,2374.9
1,fat,317,16,dcqcn,0,-1,-1,592056261,579863942.125,591274804 592056299 587433905 586638384,592056300,-1,-1,2355.47
1,fat,318,16,hp,0,-1,-1,591206670,584677729.875,590480989 587093291 588650251 591206686,591206686,-1,-1,2445.57
0,fat,319,16,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
1,fat,320,16,hp,0,-1,-1,591814997,582945393.375,586965650 587211761 591815076 589721862,591815076,-1,-1,2395.41
1,fat,321,16,dctcp,0,-1,-1,611299824,591591499.875,596174120 611299829 609896381 605154218,611299830,-1,-1,2273.03
1,fat,322,16,dctcp,0,-1,-1,611769947,590570250.3125,611769947 610289328 589290578 604046903,611769975,-1,-1,2304.97
1,fat,323,16,dctcp,0,-1,-1,611927806,591865690.75,611927833 605130752 593274664 602004414,611927835,-1,-1,2109.44
1,fat,324,16,timely,0,-1,-1,593870401,585006510.5625,592860310 591151125 593870432 590807331,593870436,-1,-1,2199.46
1,fat,325,16,timely,0,-1,-1,594436670,587110829.25,593318936 588389493 594436718 592381323,594436718,-1,-1,2254.78
0,fat,326,16,timely,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
1,fat,327,16,hpccPint,0,-1,-1,624537944,623539577.0625,624433089 623646124 624343326 624537944,624537958,-1,-1,1855.86
1,fat,328,16,hpccPint,0,-1,-1,624537349,623396994.625,624245352 624537370 624182145 624430758,624537389,-1,-1,1858.34
1,fat,329,16,hpccPint,0,-1,-1,624526094,623876533.8125,624526112 624310818 624413992 624450237,624526128,-1,-1,1821.78
0,fat,330,32,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
0,fat,331,32,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,332,32,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,333,32,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,334,32,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,335,32,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,336,32,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,337,32,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,338,32,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,339,32,timely,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,340,32,timely,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,341,32,timely,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,342,32,hpccPint,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,343,32,hpccPint,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,344,32,hpccPint,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,345,64,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,346,64,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,347,64,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,348,64,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,349,64,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,350,64,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,351,64,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,352,64,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,353,64,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,354,64,timely,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,355,64,timely,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,356,64,timely,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,357,64,hpccPint,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,358,64,hpccPint,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,359,64,hpccPint,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,360,128,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,361,128,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,362,128,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,363,128,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,364,128,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,365,128,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,366,128,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,367,128,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,368,128,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,369,128,timely,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,370,128,timely,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,371,128,timely,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,372,128,hpccPint,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,373,128,hpccPint,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,374,128,hpccPint,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,375,256,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,376,256,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,377,256,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,378,256,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,379,256,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,380,256,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,381,256,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,382,256,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,383,256,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,384,256,timely,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,385,256,timely,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,386,256,timely,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,387,256,hpccPint,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,388,256,hpccPint,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,389,256,hpccPint,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,390,319,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,391,319,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,392,319,dcqcn,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,393,319,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,394,319,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,395,319,hp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,396,319,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,397,319,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
-1,fat,398,319,dctcp,0,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0
