state,topo,seed,flowNum,cc,randOffset,algo,params,maxFctNs,avgFctNs,mkspanJobNs,mkspanAllNs,dropPkts,linkUtil,runtimeS
1,fat,300,10,dcqcn,1,bstSltNumLnspdSlt,,403149180,348061092.3,369884577 370941611 353904417,370941663,-1,-1,955.42
1,fat,301,10,dcqcn,1,bstSltNumLnspdSlt,,367643557,334029868.1,373568096 367643608 367251090,373568096,-1,-1,982.14
1,fat,302,10,dcqcn,1,bstSltNumLnspdSlt,,387726319,330555937.6,369965018 354832651 300023685,370023731,-1,-1,1002.79
1,fat,303,10,hp,1,bstSltNumLnspdSlt,,377848767,340624717.2,362388442 365915547 337778060,372778091,-1,-1,1052.12
1,fat,304,10,hp,1,bstSltNumLnspdSlt,,397354800,339306598.0,373604969 327354865 371045587,373604996,-1,-1,962.48
1,fat,305,10,hp,1,bstSltNumLnspdSlt,,377372655,327180316.9,370724487 368989264 336623878,371623872,-1,-1,1041.01
1,fat,306,10,dctcp,1,bstSltNumLnspdSlt,,462196351,365297918.9,392158776 390842391 392196351,392196378,-1,-1,990.24
1,fat,307,10,dctcp,1,bstSltNumLnspdSlt,,416728789,365811878.7,346728789 380281660 372431786,381728871,-1,-1,979.17
1,fat,308,10,dctcp,1,bstSltNumLnspdSlt,,424397544,330092103.6,354397601 352671619 385424752,389397614,-1,-1,936.5
1,fat,309,10,timely,1,bstSltNumLnspdSlt,,410868013,350461780.7,349923970 373892849 373271889,373892914,-1,-1,1056.72
1,fat,310,10,timely,1,bstSltNumLnspdSlt,,379735970,333054962.5,373445418 374303520 340185500,375185487,-1,-1,1017.45
1,fat,311,10,timely,1,bstSltNumLnspdSlt,,404866447,345282938.3,369866521 340329238 336929065,375329215,-1,-1,1023.73
1,fat,312,10,hpccPint,1,bstSltNumLnspdSlt,,418708071,367481685.7,390501614 381750141 349713887,390501699,-1,-1,1069.56
1,fat,313,10,hpccPint,1,bstSltNumLnspdSlt,,416844906,364104947.8,390488114 390009704 381844967,390488114,-1,-1,1058.54
1,fat,314,10,hpccPint,1,bstSltNumLnspdSlt,,403184350,364279972.6,383027468 390498315 390382890,390498315,-1,-1,1026.66
1,fat,315,16,dcqcn,1,bstSltNumLnspdSlt,,628158532,545090242.0625,594046470 583354452 558158537 585726952,594046502,-1,-1,1584.44
1,fat,316,16,dcqcn,1,bstSltNumLnspdSlt,,606843540,544020699.75,556222842 582588387 588358501 582916552,591222850,-1,-1,1513.07
1,fat,317,16,dcqcn,1,bstSltNumLnspdSlt,,622139329,537402881.125,557539568 587139362 565975991 520197855,592539546,-1,-1,1488.77
1,fat,318,16,hp,1,bstSltNumLnspdSlt,,613741219,537926520.25,594108938 588434124 540703151 558829335,594108938,-1,-1,1537.7
1,fat,319,16,hp,1,bstSltNumLnspdSlt,,624335431,532327407.5625,558697256 591857807 555162107 571399476,593697328,-1,-1,1491.12
1,fat,320,16,hp,1,bstSltNumLnspdSlt,,622139510,544569636.1875,586377899 593180311 572128927 555929768,593180384,-1,-1,1557.66
1,fat,321,16,dctcp,1,bstSltNumLnspdSlt,,630400966,554257903.625,605099630 570661701 595417812 606828376,606828419,-1,-1,1505.18
1,fat,322,16,dctcp,1,bstSltNumLnspdSlt,,666080113,603077253.5,604492469 597836834 596894210 596709285,604492523,-1,-1,1527.53
1,fat,323,16,dctcp,1,bstSltNumLnspdSlt,,641579028,538242322.0,598042928 606231767 496507244 606579094,606579120,-1,-1,1458.89
1,fat,324,16,timely,1,bstSltNumLnspdSlt,,602918578,530210881.375,575045562 525882950 596190639 559677001,596190683,-1,-1,1586.44
1,fat,325,16,timely,1,bstSltNumLnspdSlt,,607271967,532756089.9375,571576493 596732345 591445026 524690084,596732365,-1,-1,1587.05
1,fat,326,16,timely,1,bstSltNumLnspdSlt,,615025707,536134589.375,548539387 557480475 593354308 526096362,596096355,-1,-1,1567.84
1,fat,327,16,hpccPint,1,bstSltNumLnspdSlt,,659337043,571519425.4375,584703534 624725543 589487140 585328030,624725543,-1,-1,1596.62
1,fat,328,16,hpccPint,1,bstSltNumLnspdSlt,,655373637,582822261.625,624410787 620400529 624565373 620351532,624565376,-1,-1,1576.79
1,fat,329,16,hpccPint,1,bstSltNumLnspdSlt,,645425319,558217541.0,589546479 624354951 624462758 588931270,624546533,-1,-1,1593.8
1,fat,330,32,dcqcn,1,bstSltNumLnspdSlt,,1202914507,1064811551.34375,1174532768 1037804545 1176300269 1093103954 1058409932 1140099142 1134550607 1137899536,1178804568,-1,-1,2756.6
1,fat,331,32,dcqcn,1,bstSltNumLnspdSlt,,1233487110,1077553917.96875,1073449636 1101737262 1143053693 1034416992 1135941351 1106162332 1127284628 1131609880,1178449651,-1,-1,2742.5
1,fat,332,32,dcqcn,1,bstSltNumLnspdSlt,,1287968189,1082727182.84375,1170956174 1141270409 1131744782 1177751120 1143856039 1104403444 1131770307 1136684323,1178856113,-1,-1,2758.7
1,fat,333,32,hp,1,bstSltNumLnspdSlt,,1234634315,1081586990.375,1139402279 1052681147 1179207723 1125729470 1144405311 1140145535 1177130718 1179597532,1179597532,-1,-1,2753.66
1,fat,334,32,hp,1,bstSltNumLnspdSlt,,1213751752,1061589502.15625,1176927685 1108060956 1034667248 1139055864 1093402474 1145061748 1105427212 1069595729,1180061759,-1,-1,2747.73
1,fat,335,32,hp,1,bstSltNumLnspdSlt,,1247832542,1061987917.0625,1131357019 1107912844 1101644238 1105439529 1106827159 1109017034 1130964383 1176681782,1179017027,-1,-1,2726.96
1,fat,336,32,dctcp,1,bstSltNumLnspdSlt,,1310096654,1147098912.3125,1155300705 1188713818 1134096735 1191820248 1189396137 1234807723 1201746142 1237131879,1239096740,-1,-1,2649.46
1,fat,337,32,dctcp,1,bstSltNumLnspdSlt,,1297224752,1074590658.96875,1068861894 1066377379 1150715265 1210340481 1210514653 1152754051 1105389247 1138864209,1210514671,-1,-1,2614.27
1,fat,338,32,dctcp,1,bstSltNumLnspdSlt,,1344776593,1131188966.53125,1121636644 977262590 1225374801 1178581187 1223519279 1220438759 1101557134 1173683069,1225374801,-1,-1,2611.9
1,fat,339,32,timely,1,bstSltNumLnspdSlt,,1220538564,1087197176.5,1108152954 1134822677 1103015345 1171815070 1174021135 1070521116 1178176662 1180116171,1180116188,-1,-1,2749.77
1,fat,340,32,timely,1,bstSltNumLnspdSlt,,1252888032,1093822226.6875,1110017927 1165126603 1176269167 1177536307 1153007110 1176761833 1107006574 1146888106,1180017926,-1,-1,2755.12
1,fat,341,32,timely,1,bstSltNumLnspdSlt,,1223276490,1083260632.3125,1108804072 1136140985 1177572604 1143674539 1139481953 1178586662 1170570765 1113097848,1178804039,-1,-1,2766.06
1,fat,342,32,hpccPint,1,bstSltNumLnspdSlt,,1313637212,1147837445.3125,1229613370 1202499951 1174563201 1237933483 1228332426 1244677514 1244242181 1210157512,1245157526,-1,-1,2831.31
1,fat,343,32,hpccPint,1,bstSltNumLnspdSlt,,1298809543,1141142217.75,1224417817 1241085400 1210253835 1239838381 1245168782 1240669937 1245234812 1174676533,1245253904,-1,-1,2805.93
1,fat,344,32,hpccPint,1,bstSltNumLnspdSlt,,1287157861,1122209661.96875,1175283711 1245347568 1168931525 1245373918 1210093541 1203499185 1168983616 1140141153,1245373933,-1,-1,2827.11
1,fat,345,64,dcqcn,1,bstSltNumLnspdSlt,,2440538562,2128592846.578125,2295911224 2190998683 2301170589 2317754850 2103061315 2147078174 2281349361 2294147016 2097684763 2179081636 2313715658 2067326979 2259108011 2353631504 2228276751 2286576868,2355081623,-1,-1,5576.36
1,fat,346,64,dcqcn,1,bstSltNumLnspdSlt,,2490370421,2141171547.75,2347594249 2316797251 2325332904 2199073459 2105920562 2155606819 2188060876 2170203403 1912522131 2166367814 2307268678 2246750425 2246336858 2266357152 2337225254 2106929379,2353929391,-1,-1,5533.94
1,fat,347,64,dcqcn,1,bstSltNumLnspdSlt,,2439940063,2128123926.328125,2226368010 2317767273 2344790268 2210142837 2242616694 2172372153 2299844510 2282178974 2296132961 2140944339 2345415588 2214378006 2317758276 2317486506 2318095265 2100451546,2353095344,-1,-1,5581.75
1,fat,348,64,hp,1,bstSltNumLnspdSlt,,2503764473,2181448980.78125,2283094828 2307612015 2030971463 2332587058 2353572078 2282589760 2339778647 2278974439 2335759471 2271868864 2230300545 2193449487 2349918161 2352063925 2242538871 2105796805,2353572164,-1,-1,5583.97
