src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000801,0b001801,10000,100,442622950,0,346667006,37117708,346667006
0b000101,0b001801,10000,100,442622950,0,346998753,37117708,346998753
0b000901,0b001801,10000,100,442622950,0,356445394,37117708,356445394
0b000501,0b001801,10000,100,442622950,0,360879582,37117708,360879582
0b000201,0b001801,10000,100,442622950,0,363313968,37117708,363313968
0b000701,0b001801,10000,100,442622950,0,364789040,37117708,364789040
0b000601,0b001801,10000,100,442622950,0,365798574,37117708,365798574
0b000001,0b001801,10000,100,442622950,0,366579644,37117708,366579644
0b000401,0b001801,10000,100,442622950,0,367387580,37117708,367387580
0b000301,0b001801,10000,100,442622950,0,370067177,37117708,370067177
