src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000401,0b001801,10000,100,442622950,15000000,36745838,37117708,51745838
0b000601,0b001801,10000,100,442622950,53000000,36745838,37117708,89745838
0b000301,0b001801,10000,100,442622950,90000000,47562725,37117708,137562725
0b000101,0b001801,10000,100,442622950,116000000,51681937,37117708,167681937
0b000001,0b001801,10000,100,442622950,164000000,41170671,37117708,205170671
0b000201,0b001801,10000,100,442622950,292000000,42714827,37117708,334714827
0b000701,0b001801,10000,100,442622950,323000000,56613714,37117708,379613714
0b000801,0b001801,10000,100,442622950,371000000,91193311,37117708,462193311
0b000501,0b001801,10000,100,442622950,355000000,110527205,37117708,465527205
0b000901,0b001801,10000,100,442622950,403000000,79350003,37117708,482350003
