src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b001801,10000,100,442622950,0,353054068,37117708,353054068
0b000601,0b001801,10000,100,442622950,0,354231917,37117708,354231917
0b000501,0b001801,10000,100,442622950,0,357768766,37117708,357768766
0b000701,0b001801,10000,100,442622950,0,360705883,37117708,360705883
0b000001,0b001801,10000,100,442622950,0,364793705,37117708,364793705
0b000901,0b001801,10000,100,442622950,0,365163983,37117708,365163983
0b000801,0b001801,10000,100,442622950,0,365957880,37117708,365957880
0b000401,0b001801,10000,100,442622950,0,366133419,37117708,366133419
0b000201,0b001801,10000,100,442622950,0,370103069,37117708,370103069
0b000301,0b001801,10000,100,442622950,0,371373487,37117708,371373487
