src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000001,0b001801,10000,100,442622950,14000000,73826019,37117708,87826019
0b000301,0b001801,10000,100,442622950,28000000,94174054,37117708,122174054
0b000901,0b001801,10000,100,442622950,57000000,119740655,37117708,176740655
0b000601,0b001801,10000,100,442622950,104000000,87820817,37117708,191820817
0b000101,0b001801,10000,100,442622950,97000000,160610710,37117708,257610710
0b000201,0b001801,10000,100,442622950,199000000,123519470,37117708,322519470
0b000801,0b001801,10000,100,442622950,191000000,147443494,37117708,338443494
0b000501,0b001801,10000,100,442622950,185000000,156876011,37117708,341876011
0b000401,0b001801,10000,100,442622950,282000000,109372830,37117708,391372830
0b000701,0b001801,10000,100,442622950,281000000,112284047,37117708,393284047
