src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000701,0b001801,10000,100,442622950,52000000,66894704,37117708,118894704
0b000001,0b001801,10000,100,442622950,60000000,72984971,37117708,132984971
0b000601,0b001801,10000,100,442622950,206000000,37799500,37117708,243799500
0b000401,0b001801,10000,100,442622950,242000000,74874304,37117708,316874304
0b000301,0b001801,10000,100,442622950,302000000,169024603,37117708,471024603
0b000201,0b001801,10000,100,442622950,350000000,121621578,37117708,471621578
0b000501,0b001801,10000,100,442622950,281000000,205089390,37117708,486089390
0b000901,0b001801,10000,100,442622950,333000000,183275996,37117708,516275996
0b000801,0b001801,10000,100,442622950,278000000,259397304,37117708,537397304
0b000101,0b001801,10000,100,442622950,278000000,260622347,37117708,538622347
