src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000801,0b001801,10000,100,442622950,0,354930427,37117708,354930427
0b000701,0b001801,10000,100,442622950,0,359319298,37117708,359319298
0b000301,0b001801,10000,100,442622950,0,367671188,37117708,367671188
0b000101,0b001801,10000,100,442622950,0,367927762,37117708,367927762
0b000901,0b001801,10000,100,442622950,0,368121231,37117708,368121231
0b000201,0b001801,10000,100,442622950,0,368608815,37117708,368608815
0b000001,0b001801,10000,100,442622950,0,368745014,37117708,368745014
0b000401,0b001801,10000,100,442622950,0,368844798,37117708,368844798
0b000601,0b001801,10000,100,442622950,0,370849799,37117708,370849799
0b000501,0b001801,10000,100,442622950,0,371408530,37117708,371408530
