src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000301,0b001801,10000,100,442622950,1000000,123853495,37117708,124853495
0b000601,0b001801,10000,100,442622950,16000000,253371832,37117708,269371832
0b000701,0b001801,10000,100,442622950,16000000,255582131,37117708,271582131
0b000201,0b001801,10000,100,442622950,47000000,281580554,37117708,328580554
0b000101,0b001801,10000,100,442622950,50000000,286083627,37117708,336083627
0b000501,0b001801,10000,100,442622950,60000000,281884836,37117708,341884836
0b000901,0b001801,10000,100,442622950,68000000,282031945,37117708,350031945
0b000401,0b001801,10000,100,442622950,92000000,270121435,37117708,362121435
0b000801,0b001801,10000,100,442622950,138000000,234014336,37117708,372014336
0b000001,0b001801,10000,100,442622950,133000000,240059090,37117708,373059090
