src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000201,0b001801,10000,100,442622950,0,389082102,37117708,389082102
0b000701,0b001801,10000,100,442622950,0,389087675,37117708,389087675
0b000601,0b001801,10000,100,442622950,0,389370234,37117708,389370234
0b000901,0b001801,10000,100,442622950,0,389623785,37117708,389623785
0b000001,0b001801,10000,100,442622950,0,389749599,37117708,389749599
0b000501,0b001801,10000,100,442622950,0,389833876,37117708,389833876
0b000101,0b001801,10000,100,442622950,0,390190493,37117708,390190493
0b000801,0b001801,10000,100,442622950,0,390360118,37117708,390360118
0b000401,0b001801,10000,100,442622950,0,390519390,37117708,390519390
0b000301,0b001801,10000,100,442622950,0,390552587,37117708,390552587
