src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b001801,10000,100,442622950,16000000,42378470,37117708,58378470
0b000001,0b001801,10000,100,442622950,52000000,78232925,37117708,130232925
0b000601,0b001801,10000,100,442622950,63000000,83955363,37117708,146955363
0b000401,0b001801,10000,100,442622950,116000000,56214896,37117708,172214896
0b000901,0b001801,10000,100,442622950,384000000,40392532,37117708,424392532
0b000501,0b001801,10000,100,442622950,422000000,110907280,37117708,532907280
0b000201,0b001801,10000,100,442622950,429000000,128319131,37117708,557319131
0b000801,0b001801,10000,100,442622950,454000000,135664838,37117708,589664838
0b000701,0b001801,10000,100,442622950,486000000,124847783,37117708,610847783
0b000301,0b001801,10000,100,442622950,516000000,102168072,37117708,618168072
