src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b000301,0b00cb01,10000,100,442791930,70000022,269839464,269839464,37135915,339839486
0b000201,0b00cb01,10000,100,443686486,70000021,271353262,271353262,37210916,341353283
0b000801,0b00cb01,10000,100,442429273,70000062,272093000,342093000,37105513,342093062
0b000401,0b00cb01,10000,100,443033490,70000036,281314819,316314819,37156169,351314855
0b000701,0b00cb01,10000,100,442579512,35000045,320507907,390507907,37118108,355507952
0b000001,0b00cb01,10000,100,442496649,35000004,320754208,320754208,37111160,355754212
0b000901,0b00cb01,10000,100,442369121,99,390842391,460842391,37100470,390842490
0b000101,0b00cb01,10000,100,442518303,17,391919031,391919031,37112977,391919048
0b000501,0b00cb01,10000,100,441910758,37,392158756,427158756,37062038,392158793
0b000601,0b00cb01,10000,100,442572752,44,392196351,462196351,37117540,392196395
