src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b000501,0b00cb01,10000,100,442429273,78,330779478,365779478,37105513,330779556
0b000201,0b00cb01,10000,100,442518303,34,331072312,331072312,37112977,331072346
0b000001,0b00cb01,10000,100,442496649,18,331836291,331836291,37111160,331836309
0b000601,0b00cb01,10000,100,441910758,80,336678293,371678293,37062038,336678373
0b000901,0b00cb01,10000,100,443686486,35000095,346844906,416844906,37210916,381845001
0b000701,0b00cb01,10000,100,442572752,35000088,347550983,382550983,37117540,382551071
0b000101,0b00cb01,10000,100,443033490,35000033,347606745,347606745,37156169,382606778
0b000301,0b00cb01,10000,100,442791930,35000055,348182718,348182718,37135915,383182773
0b000401,0b00cb01,10000,100,442579512,70000071,320009713,355009713,37118108,390009784
0b000801,0b00cb01,10000,100,442369121,70000093,320488039,390488039,37100470,390488132
