src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b000a01,0b00cb01,10000,100,441813827,55,572968377,572968432,37053911,572968432
0b000301,0b00cb01,10000,100,442850231,18,577052285,577052303,37140806,577052303
0b000201,0b00cb01,10000,100,442579512,17,581569688,581569705,37118108,581569705
0b000b01,0b00cb01,10000,100,442572752,68,582370567,582370635,37117540,582370635
0b000701,0b00cb01,10000,100,442369121,37,583123836,583123873,37100470,583123873
0b000901,0b00cb01,10000,100,442299518,55,583886882,583886937,37094633,583886937
0b000601,0b00cb01,10000,100,442727168,27,584718789,584718816,37130488,584718816
0b000001,0b00cb01,10000,100,442518303,3,585154338,585154341,37112977,585154341
0b000f01,0b00cb01,10000,100,443686486,84,585400265,585400349,37210916,585400349
0b000501,0b00cb01,10000,100,441610566,21,586533035,586533056,37036871,586533056
0b000801,0b00cb01,10000,100,442496649,45,586623269,586623314,37111160,586623314
0b000e01,0b00cb01,10000,100,443033490,83,587093226,587093309,37156169,587093309
0b000c01,0b00cb01,10000,100,442791930,78,588011235,588011313,37135915,588011313
0b000d01,0b00cb01,10000,100,442429273,79,588650227,588650306,37105513,588650306
0b000101,0b00cb01,10000,100,441910758,8,590480989,590480997,37062038,590480997
0b000401,0b00cb01,10000,100,442825002,19,591206670,591206689,37138692,591206689
