src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b000201,0b001801,10000,100,442622950,0,568819049,568819049,37117708,568819049
0b000c01,0b001801,10000,100,442622950,0,570250712,570250712,37117708,570250712
0b000e01,0b001801,10000,100,442622950,0,573087814,573087814,37117708,573087814
0b000f01,0b001801,10000,100,442622950,0,573210069,573210069,37117708,573210069
0b000501,0b001801,10000,100,442622950,0,574698587,574698587,37117708,574698587
0b000d01,0b001801,10000,100,442622950,0,575242067,575242067,37117708,575242067
0b000101,0b001801,10000,100,442622950,0,577550957,577550957,37117708,577550957
0b000701,0b001801,10000,100,442622950,0,578952076,578952076,37117708,578952076
0b000301,0b001801,10000,100,442622950,0,580160552,580160552,37117708,580160552
0b000a01,0b001801,10000,100,442622950,0,580877585,580877585,37117708,580877585
0b000901,0b001801,10000,100,442622950,0,581890845,581890845,37117708,581890845
0b000601,0b001801,10000,100,442622950,0,585195522,585195522,37117708,585195522
0b000001,0b001801,10000,100,442622950,0,585339901,585339901,37117708,585339901
0b000401,0b001801,10000,100,442622950,0,586457608,586457608,37117708,586457608
0b000801,0b001801,10000,100,442622950,0,587197922,587197922,37117708,587197922
0b000b01,0b001801,10000,100,442622950,0,590756391,590756391,37117708,590756391
