src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b001c01,0b00cb01,10000,100,442572752,91,234042128,445042128,37117540,234042219
0b001001,0b00cb01,10000,100,442444248,48,270751019,375751019,37106768,270751067
0b001601,0b00cb01,10000,100,443416361,35000066,706154529,882154529,37188270,741154595
0b000a01,0b00cb01,10000,100,442825002,70000032,987593561,1057593561,37138692,1057593593
0b001901,0b00cb01,10000,100,442448053,70000073,995321408,1171321408,37107088,1065321481
0b000f01,0b00cb01,10000,100,442973506,70000047,998346081,1103346081,37151140,1068346128
0b000501,0b00cb01,10000,100,442369121,70000025,1008272086,1078272086,37100470,1078272111
0b000201,0b00cb01,10000,100,442117240,70000008,1008893381,1043893381,37079352,1078893389
0b000801,0b00cb01,10000,100,443033490,70000030,1012951770,1082951770,37156169,1082951800
0b000001,0b00cb01,10000,100,441610566,70000001,1013005134,1013005134,37036871,1083005135
0b000d01,0b00cb01,10000,100,441813827,70000041,1014917317,1119917317,37053911,1084917358
0b000601,0b00cb01,10000,100,441896576,70000027,1016319914,1086319914,37060850,1086319941
0b000e01,0b00cb01,10000,100,441800063,105000042,1008314993,1113314993,37052760,1113315035
0b001b01,0b00cb01,10000,100,443143842,105000089,1013759651,1224759651,37165420,1118759740
0b000701,0b00cb01,10000,100,442496649,105000029,1014564119,1084564119,37111160,1119564148
0b001e01,0b00cb01,10000,100,442055212,105000098,1020674862,1231674862,37074152,1125674960
0b001a01,0b00cb01,10000,100,442518303,105000077,1023588792,1234588792,37112977,1128588869
0b001401,0b00cb01,10000,100,442429273,105000052,1026357058,1167357058,37105513,1131357110
0b001f01,0b00cb01,10000,100,442776184,105000099,1036832542,1247832542,37134598,1141832641
0b001201,0b00cb01,10000,100,442727168,141000049,1001844711,1106844711,37130488,1142844760
0b000301,0b00cb01,10000,100,442791930,141000018,1003095215,1073095215,37135915,1144095233
0b000401,0b00cb01,10000,100,442299518,176000021,980151090,1050151090,37094633,1156151111
0b001101,0b00cb01,10000,100,441749666,176000048,987160808,1092160808,37048533,1163160856
0b000c01,0b00cb01,10000,100,441908201,176000034,989964415,1094964415,37061826,1165964449
0b001501,0b00cb01,10000,100,444188902,176000065,993565318,1169565318,37253037,1169565383
0b000901,0b00cb01,10000,100,442579512,176000032,995644279,1065644279,37118108,1171644311
0b000101,0b00cb01,10000,100,442251144,211000003,962648987,962648987,37090579,1173648990
0b001d01,0b00cb01,10000,100,441910758,211000096,964439463,1175439463,37062038,1175439559
0b001801,0b00cb01,10000,100,442850231,211000072,965681758,1141681758,37140806,1176681830
0b001301,0b00cb01,10000,100,442751047,211000050,965827110,1106827110,37132491,1176827160
0b001701,0b00cb01,10000,100,443686486,211000070,966912806,1142912806,37210916,1177912876
0b000b01,0b00cb01,10000,100,441988043,211000034,968017041,1038017041,37068521,1179017075
