src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b001501,0b00cb01,10000,100,441800063,69,1134701631,1134701631,37052760,1134701700
0b001f01,0b00cb01,10000,100,442496649,92,1141294021,1141294021,37111160,1141294113
0b000001,0b00cb01,10000,100,442751047,3,1144876646,1144876646,37132491,1144876649
0b001b01,0b00cb01,10000,100,441908201,77,1149687520,1149687520,37061826,1149687597
0b000f01,0b00cb01,10000,100,442055212,60,1152126346,1152126346,37074152,1152126406
0b001001,0b00cb01,10000,100,441749666,62,1154221902,1154221902,37048533,1154221964
0b000d01,0b00cb01,10000,100,442299518,50,1157282916,1157282916,37094633,1157282966
0b000e01,0b00cb01,10000,100,442444248,60,1157664480,1157664480,37106768,1157664540
0b000801,0b00cb01,10000,100,442429273,34,1157874770,1157874770,37105513,1157874804
0b001201,0b00cb01,10000,100,441910758,65,1159857507,1159857507,37062038,1159857572
0b000501,0b00cb01,10000,100,443143842,12,1161311210,1161311210,37165420,1161311222
0b000701,0b00cb01,10000,100,442518303,17,1161677761,1161677761,37112977,1161677778
0b001801,0b00cb01,10000,100,442369121,74,1163773722,1163773722,37100470,1163773796
0b000401,0b00cb01,10000,100,441610566,10,1164075291,1164075291,37036871,1164075301
0b000a01,0b00cb01,10000,100,441896576,39,1165331909,1165331909,37060850,1165331948
0b001c01,0b00cb01,10000,100,441813827,82,1166182571,1166182571,37053911,1166182653
0b001901,0b00cb01,10000,100,442727168,76,1166416903,1166416903,37130488,1166416979
0b000c01,0b00cb01,10000,100,443416361,50,1166787518,1166787518,37188270,1166787568
0b000601,0b00cb01,10000,100,443033490,17,1167006963,1167006963,37156169,1167006980
0b001401,0b00cb01,10000,100,443686486,68,1167432926,1167432926,37210916,1167432994
0b001101,0b00cb01,10000,100,441988043,63,1169453856,1169453856,37068521,1169453919
0b000301,0b00cb01,10000,100,442791930,8,1170658210,1170658210,37135915,1170658218
0b001a01,0b00cb01,10000,100,442973506,76,1170812400,1170812400,37151140,1170812476
0b001301,0b00cb01,10000,100,442117240,65,1172632714,1172632714,37079352,1172632779
0b001e01,0b00cb01,10000,100,442572752,90,1172671596,1172671596,37117540,1172671686
0b001d01,0b00cb01,10000,100,442850231,86,1173336938,1173336938,37140806,1173337024
0b001701,0b00cb01,10000,100,442776184,73,1173703510,1173703510,37134598,1173703583
0b000201,0b00cb01,10000,100,442251144,6,1174428597,1174428597,37090579,1174428603
0b000901,0b00cb01,10000,100,444188902,39,1175046609,1175046609,37253037,1175046648
0b000101,0b00cb01,10000,100,442825002,3,1175226510,1175226510,37138692,1175226513
0b001601,0b00cb01,10000,100,442579512,69,1175552187,1175552187,37118108,1175552256
0b000b01,0b00cb01,10000,100,442448053,45,1175673210,1175673210,37107088,1175673255
