src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b001101,0b00cb01,10000,100,441610566,50,820571963,925571963,37036871,820572013
0b001301,0b00cb01,10000,100,442751047,58,844909139,985909139,37132491,844909197
0b001801,0b00cb01,10000,100,441749666,72,852259330,1028259330,37048533,852259402
0b001601,0b00cb01,10000,100,442825002,65,855014277,996014277,37138692,855014342
0b000b01,0b00cb01,10000,100,443143842,37,866225932,936225932,37165420,866225969
0b001b01,0b00cb01,10000,100,442448053,35000081,991308104,1202308104,37107088,1026308185
0b000401,0b00cb01,10000,100,444188902,35000006,995172651,995172651,37253037,1030172657
0b001501,0b00cb01,10000,100,442055212,35000065,1005474343,1146474343,37074152,1040474408
0b001701,0b00cb01,10000,100,443686486,35000071,1005854204,1181854204,37210916,1040854275
0b000e01,0b00cb01,10000,100,442791930,35000044,1012636794,1082636794,37135915,1047636838
0b001f01,0b00cb01,10000,100,442117240,70000090,1012276490,1223276490,37079352,1082276580
0b000301,0b00cb01,10000,100,442369121,70000004,1024909998,1024909998,37100470,1094910002
0b001201,0b00cb01,10000,100,441910758,70000053,1026443139,1131443139,37062038,1096443192
0b001901,0b00cb01,10000,100,442299518,70000079,1037931690,1213931690,37094633,1107931769
0b000f01,0b00cb01,10000,100,442444248,70000044,1040423293,1110423293,37106768,1110423337
0b000001,0b00cb01,10000,100,442776184,70000002,1054549641,1054549641,37134598,1124549643
0b000801,0b00cb01,10000,100,441800063,105000023,1029288340,1064288340,37052760,1134288363
0b000201,0b00cb01,10000,100,442579512,105000003,1031141032,1031141032,37118108,1136141035
0b001a01,0b00cb01,10000,100,443416361,141000080,1007097774,1183097774,37188270,1148097854
0b000701,0b00cb01,10000,100,442251144,105000022,1043656299,1078656299,37090579,1148656321
0b000101,0b00cb01,10000,100,441813827,141000002,1012415154,1012415154,37053911,1153415156
0b000501,0b00cb01,10000,100,443033490,141000008,1018853484,1053853484,37156169,1159853492
0b000a01,0b00cb01,10000,100,441896576,141000036,1022058421,1092058421,37060850,1163058457
0b000601,0b00cb01,10000,100,442518303,176000016,994570807,1029570807,37112977,1170570823
0b000d01,0b00cb01,10000,100,441988043,211000041,961177371,1031177371,37068521,1172177412
0b001e01,0b00cb01,10000,100,442727168,176000086,996893890,1207893890,37130488,1172893976
0b001401,0b00cb01,10000,100,442496649,176000062,998481935,1139481935,37111160,1174481997
0b001001,0b00cb01,10000,100,441908201,176000045,1000106925,1105106925,37061826,1176106970
0b000901,0b00cb01,10000,100,442572752,211000030,966572639,1001572639,37117540,1177572669
0b001d01,0b00cb01,10000,100,442973506,211000083,967586616,1178586616,37151140,1178586699
0b001c01,0b00cb01,10000,100,442429273,211000083,967674521,1178674521,37105513,1178674604
0b000c01,0b00cb01,10000,100,442850231,211000038,967804038,1037804038,37140806,1178804076
