src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b000f01,0b00cb01,10000,100,441800063,63,1238415158,1238415158,37052760,1238415221
0b001901,0b00cb01,10000,100,441910758,82,1239489127,1239489127,37062038,1239489209
0b001801,0b00cb01,10000,100,442055212,81,1240253058,1240253058,37074152,1240253139
0b001401,0b00cb01,10000,100,442299518,73,1240359526,1240359526,37094633,1240359599
0b001a01,0b00cb01,10000,100,441610566,87,1240439832,1240439832,37036871,1240439919
0b001601,0b00cb01,10000,100,441988043,77,1240456131,1240456131,37068521,1240456208
0b001101,0b00cb01,10000,100,443033490,71,1241237897,1241237897,37156169,1241237968
0b000501,0b00cb01,10000,100,441908201,22,1241313111,1241313111,37061826,1241313133
0b000e01,0b00cb01,10000,100,441813827,63,1241399525,1241399525,37053911,1241399588
0b001001,0b00cb01,10000,100,441896576,63,1241590126,1241590126,37060850,1241590189
0b001201,0b00cb01,10000,100,442251144,71,1241627002,1241627002,37090579,1241627073
0b000a01,0b00cb01,10000,100,442117240,49,1241834260,1241834260,37079352,1241834309
0b001501,0b00cb01,10000,100,442429273,76,1241880031,1241880031,37105513,1241880107
0b000801,0b00cb01,10000,100,441749666,31,1241937127,1241937127,37048533,1241937158
0b000d01,0b00cb01,10000,100,442791930,58,1242330728,1242330728,37135915,1242330786
0b000701,0b00cb01,10000,100,442579512,27,1242353159,1242353159,37118108,1242353186
0b000901,0b00cb01,10000,100,442850231,47,1242431936,1242431936,37140806,1242431983
0b000401,0b00cb01,10000,100,442776184,13,1242490058,1242490058,37134598,1242490071
0b000001,0b00cb01,10000,100,442448053,5,1242610801,1242610801,37107088,1242610806
0b000b01,0b00cb01,10000,100,442727168,50,1242766838,1242766838,37130488,1242766888
0b000c01,0b00cb01,10000,100,442369121,52,1242854267,1242854267,37100470,1242854319
0b001301,0b00cb01,10000,100,442518303,72,1242931218,1242931218,37112977,1242931290
0b000601,0b00cb01,10000,100,442496649,25,1242957492,1242957492,37111160,1242957517
0b000201,0b00cb01,10000,100,442572752,7,1242979895,1242979895,37117540,1242979902
0b001701,0b00cb01,10000,100,442444248,79,1243053416,1243053416,37106768,1243053495
0b000101,0b00cb01,10000,100,442825002,5,1243198504,1243198504,37138692,1243198509
0b001d01,0b00cb01,10000,100,443416361,93,1243238925,1243238925,37188270,1243239018
0b000301,0b00cb01,10000,100,442973506,13,1243249653,1243249653,37151140,1243249666
0b001c01,0b00cb01,10000,100,443686486,92,1243281989,1243281989,37210916,1243282081
0b001b01,0b00cb01,10000,100,442751047,92,1243305488,1243305488,37132491,1243305580
0b001e01,0b00cb01,10000,100,443143842,97,1243437924,1243437924,37165420,1243438021
0b001f01,0b00cb01,10000,100,444188902,97,1243518460,1243518460,37253037,1243518557
