src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b00cb01,10000,100,443033490,0,2320241196,2320241196,37156169,2320241196
0b003801,0b00cb01,10000,100,442641479,89,2320835097,2320835097,37123303,2320835186
0b000901,0b00cb01,10000,100,442185918,13,2323357454,2323357454,37085107,2323357467
0b002801,0b00cb01,10000,100,442825002,54,2326121068,2326121068,37138692,2326121122
0b002701,0b00cb01,10000,100,442251144,53,2326462213,2326462213,37090579,2326462266
0b000e01,0b00cb01,10000,100,442413823,19,2329950308,2329950308,37104215,2329950327
0b003401,0b00cb01,10000,100,441908201,85,2330561971,2330561971,37061826,2330562056
0b001401,0b00cb01,10000,100,442444248,26,2333235898,2333235898,37106768,2333235924
0b001801,0b00cb01,10000,100,442776184,29,2335416655,2335416655,37134598,2335416684
0b000601,0b00cb01,10000,100,442850231,5,2336906717,2336906717,37140806,2336906722
0b000201,0b00cb01,10000,100,442817923,1,2337690484,2337690484,37138094,2337690485
0b003101,0b00cb01,10000,100,443214934,81,2339325997,2339325997,37171380,2339326078
0b002b01,0b00cb01,10000,100,442696687,59,2339763072,2339763072,37127931,2339763131
0b003e01,0b00cb01,10000,100,443280227,98,2339863650,2339863650,37176857,2339863748
0b001201,0b00cb01,10000,100,442751047,23,2340052557,2340052557,37132491,2340052580
0b003c01,0b00cb01,10000,100,443416361,93,2340788314,2340788314,37188270,2340788407
0b000c01,0b00cb01,10000,100,441910758,16,2340963336,2340963336,37062038,2340963352
0b002601,0b00cb01,10000,100,444188902,51,2341852970,2341852970,37253037,2341853021
0b002e01,0b00cb01,10000,100,441610566,66,2341865952,2341865952,37036871,2341866018
0b001701,0b00cb01,10000,100,441873128,29,2342260170,2342260170,37058886,2342260199
0b002a01,0b00cb01,10000,100,443143842,58,2342861630,2342861630,37165420,2342861688
0b000a01,0b00cb01,10000,100,441813827,14,2343793999,2343793999,37053911,2343794013
0b000f01,0b00cb01,10000,100,443136026,20,2343868117,2343868117,37164768,2343868137
0b003b01,0b00cb01,10000,100,442305901,93,2344019843,2344019843,37095167,2344019936
0b002201,0b00cb01,10000,100,442383141,44,2344239276,2344239276,37101645,2344239320
0b000d01,0b00cb01,10000,100,441749666,17,2344752300,2344752300,37048533,2344752317
0b001e01,0b00cb01,10000,100,442791930,38,2344820998,2344820998,37135915,2344821036
0b003a01,0b00cb01,10000,100,442591048,90,2345069289,2345069289,37119077,2345069379
0b002301,0b00cb01,10000,100,441800063,48,2345177073,2345177073,37052760,2345177121
0b003201,0b00cb01,10000,100,441896576,84,2345632507,2345632507,37060850,2345632591
0b001a01,0b00cb01,10000,100,442270374,30,2345828889,2345828889,37092190,2345828919
0b000501,0b00cb01,10000,100,442117240,4,2345989958,2345989958,37079352,2345989962
0b002901,0b00cb01,10000,100,442865639,57,2346080346,2346080346,37142096,2346080403
0b001b01,0b00cb01,10000,100,442570820,31,2346417504,2346417504,37117378,2346417535
0b002501,0b00cb01,10000,100,442299518,49,2346535225,2346535225,37094633,2346535274
0b002d01,0b00cb01,10000,100,442369121,65,2346826220,2346826220,37100470,2346826285
0b000801,0b00cb01,10000,100,443108392,9,2347058628,2347058628,37162449,2347058637
0b003601,0b00cb01,10000,100,442429273,85,2347319778,2347319778,37105513,2347319863
0b003301,0b00cb01,10000,100,443686486,84,2347464905,2347464905,37210916,2347464989
0b000b01,0b00cb01,10000,100,441866045,15,2347663600,2347663600,37058292,2347663615
0b003701,0b00cb01,10000,100,442882945,88,2348051963,2348051963,37143546,2348052051
0b000301,0b00cb01,10000,100,443065239,2,2348483007,2348483007,37158832,2348483009
0b001c01,0b00cb01,10000,100,442572752,31,2348559816,2348559816,37117540,2348559847
0b001901,0b00cb01,10000,100,442055212,30,2348698115,2348698115,37074152,2348698145
0b003d01,0b00cb01,10000,100,442510405,94,2348727801,2348727801,37112314,2348727895
0b002c01,0b00cb01,10000,100,442403018,64,2348799465,2348799465,37103312,2348799529
0b000401,0b00cb01,10000,100,442518303,3,2349112547,2349112547,37112977,2349112550
0b001101,0b00cb01,10000,100,442560783,22,2349262409,2349262409,37116536,2349262431
0b003901,0b00cb01,10000,100,442496649,89,2349392790,2349392790,37111160,2349392879
0b002401,0b00cb01,10000,100,442487955,49,2349427936,2349427936,37110430,2349427985
0b001501,0b00cb01,10000,100,441947869,26,2349508044,2349508044,37065149,2349508070
0b002001,0b00cb01,10000,100,442973506,39,2349522932,2349522932,37151140,2349522971
0b001301,0b00cb01,10000,100,442727168,25,2349573178,2349573178,37130488,2349573203
0b003501,0b00cb01,10000,100,442399593,85,2349702094,2349702094,37103023,2349702179
0b002101,0b00cb01,10000,100,442945507,39,2349839686,2349839686,37148793,2349839725
0b002f01,0b00cb01,10000,100,442543046,79,2350330935,2350330935,37115052,2350331014
0b000701,0b00cb01,10000,100,442579512,8,2350418669,2350418669,37118108,2350418677
0b001601,0b00cb01,10000,100,442512341,27,2350500828,2350500828,37112477,2350500855
0b001001,0b00cb01,10000,100,443074581,22,2350718123,2350718123,37159614,2350718145
0b001d01,0b00cb01,10000,100,441988043,35,2350720407,2350720407,37068521,2350720442
0b003001,0b00cb01,10000,100,442448053,79,2350839209,2350839209,37107088,2350839288
0b001f01,0b00cb01,10000,100,442922748,38,2351710389,2351710389,37146884,2351710427
0b003f01,0b00cb01,10000,100,442438326,98,2351816006,2351816006,37106271,2351816104
0b000001,0b00cb01,10000,100,442086526,0,2351923451,2351923451,37076776,2351923451
