src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b00cb01,10000,100,442572752,3,963856326,963856326,37117540,963856329
0b003c01,0b00cb01,10000,100,442570820,92,1023118223,1447118223,37117378,1023118315
0b001f01,0b00cb01,10000,100,442487955,39,1115470547,1362470547,37110430,1115470586
0b002301,0b00cb01,10000,100,444188902,35000041,1598616297,1881616297,37253037,1633616338
0b003e01,0b00cb01,10000,100,443108392,35000092,1629707417,2053707417,37162449,1664707509
0b003601,0b00cb01,10000,100,443143842,35000082,1668228545,2057228545,37165420,1703228627
0b002701,0b00cb01,10000,100,442850231,35000047,1695025899,2013025899,37140806,1730025946
0b002001,0b00cb01,10000,100,442825002,35000039,1699605519,1946605519,37138692,1734605558
0b002b01,0b00cb01,10000,100,443033490,35000056,1737236167,2055236167,37156169,1772236223
0b001c01,0b00cb01,10000,100,442591048,70000032,1780259767,1992259767,37119077,1850259799
0b002d01,0b00cb01,10000,100,442251144,70000060,1785797431,2138797431,37090579,1855797491
0b000e01,0b00cb01,10000,100,442403018,70000017,1798661898,1904661898,37103312,1868661915
0b003001,0b00cb01,10000,100,442560783,70000069,1811664194,2164664194,37116536,1881664263
0b003f01,0b00cb01,10000,100,442117240,106000097,1909459608,2333459608,37079352,2015459705
0b002c01,0b00cb01,10000,100,442922748,106000059,1920914788,2238914788,37146884,2026914847
0b000701,0b00cb01,10000,100,441873128,106000010,1942042086,1977042086,37058886,2048042096
0b001801,0b00cb01,10000,100,442448053,106000030,1942740436,2118740436,37107088,2048740466
0b000201,0b00cb01,10000,100,443280227,141000007,1925849254,1925849254,37176857,2066849261
0b003901,0b00cb01,10000,100,443074581,141000089,1953172407,2377172407,37159614,2094172496
0b003201,0b00cb01,10000,100,442055212,141000073,1955640116,2344640116,37074152,2096640189
0b001301,0b00cb01,10000,100,441908201,141000023,1961297797,2102297797,37061826,2102297820
0b000901,0b00cb01,10000,100,441800063,141000014,1987186178,2057186178,37052760,2128186192
0b001701,0b00cb01,10000,100,442270374,176000028,1973981914,2149981914,37092190,2149981942
0b002a01,0b00cb01,10000,100,442945507,176000054,2001409531,2319409531,37148793,2177409585
0b003701,0b00cb01,10000,100,442751047,176000082,2007557320,2396557320,37132491,2183557402
0b003b01,0b00cb01,10000,100,442510405,212000090,2003600245,2427600245,37112314,2215600335
0b003301,0b00cb01,10000,100,441947869,212000075,2007288521,2396288521,37065149,2219288596
0b000f01,0b00cb01,10000,100,441988043,212000019,2018193539,2124193539,37068521,2230193558
0b001201,0b00cb01,10000,100,442383141,212000022,2028361798,2169361798,37101645,2240361820
0b001601,0b00cb01,10000,100,442185918,212000026,2030848634,2206848634,37085107,2242848660
0b001e01,0b00cb01,10000,100,443686486,247000038,2007203728,2254203728,37210916,2254203766
0b003d01,0b00cb01,10000,100,442696687,247000092,2015940063,2439940063,37127931,2262940155
0b003401,0b00cb01,10000,100,441813827,247000077,2023954129,2412954129,37053911,2270954206
0b000d01,0b00cb01,10000,100,442413823,283000016,2001516044,2107516044,37104215,2284516060
0b000b01,0b00cb01,10000,100,441910758,283000016,2013133037,2083133037,37062038,2296133053
0b002e01,0b00cb01,10000,100,442579512,283000063,2013368007,2366368007,37118108,2296368070
0b001b01,0b00cb01,10000,100,443416361,283000032,2022126977,2234126977,37188270,2305127009
0b003801,0b00cb01,10000,100,441866045,283000088,2024316136,2413316136,37058292,2307316224
0b002601,0b00cb01,10000,100,442727168,283000046,2024536892,2307536892,37130488,2307536938
0b001a01,0b00cb01,10000,100,442369121,318000031,2000396723,2212396723,37100470,2318396754
0b001501,0b00cb01,10000,100,442776184,318000025,2002378040,2143378040,37134598,2320378065
0b002201,0b00cb01,10000,100,443136026,318000041,2002508505,2285508505,37164768,2320508546
0b000801,0b00cb01,10000,100,443214934,318000011,2005998265,2040998265,37171380,2323998276
0b002901,0b00cb01,10000,100,442444248,353000051,1975180784,2293180784,37106768,2328180835
0b000001,0b00cb01,10000,100,442817923,318000002,2011262815,2011262815,37138094,2329262817
0b000c01,0b00cb01,10000,100,442496649,318000016,2013133178,2083133178,37111160,2331133194
0b000601,0b00cb01,10000,100,442512341,353000010,1979719262,2014719262,37112477,2332719272
0b000401,0b00cb01,10000,100,442882945,353000009,1981844557,2016844557,37143546,2334844566
0b002401,0b00cb01,10000,100,442791930,353000043,1984934774,2267934774,37135915,2337934817
0b003a01,0b00cb01,10000,100,443065239,389000090,1955790217,2379790217,37158832,2344790307
0b001101,0b00cb01,10000,100,442299518,389000022,1956415569,2097415569,37094633,2345415591
0b002501,0b00cb01,10000,100,441749666,424000045,1923451593,2206451593,37048533,2347451638
0b000301,0b00cb01,10000,100,442973506,389000007,1959372228,1994372228,37151140,2348372235
0b001d01,0b00cb01,10000,100,442865639,389000035,1959616689,2171616689,37142096,2348616724
0b002801,0b00cb01,10000,100,441896576,424000047,1925659455,2243659455,37060850,2349659502
0b001001,0b00cb01,10000,100,442429273,389000021,1960829490,2066829490,37105513,2349829511
0b002f01,0b00cb01,10000,100,442543046,389000068,1962142842,2315142842,37115052,2351142910
0b003501,0b00cb01,10000,100,442641479,389000081,1963178129,2352178129,37123303,2352178210
0b002101,0b00cb01,10000,100,441610566,424000039,1928178967,2211178967,37036871,2352179006
0b000a01,0b00cb01,10000,100,442305901,389000015,1963486538,2033486538,37095167,2352486553
0b001901,0b00cb01,10000,100,442086526,424000031,1928758337,2140758337,37076776,2352758368
0b001401,0b00cb01,10000,100,442438326,424000023,1928767289,2069767289,37106271,2352767312
0b003101,0b00cb01,10000,100,442518303,424000072,1928944286,2317944286,37112977,2352944358
0b000501,0b00cb01,10000,100,442399593,424000009,1929095338,1964095338,37103023,2353095347
