src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b003901,0b00cb01,10000,100,442727168,93,2317617613,2317617613,37130488,2317617706
0b003401,0b00cb01,10000,100,441800063,81,2320036253,2320036253,37052760,2320036334
0b001601,0b00cb01,10000,100,441910758,39,2322643887,2322643887,37062038,2322643926
0b000601,0b00cb01,10000,100,442560783,9,2326692972,2326692972,37116536,2326692981
0b002301,0b00cb01,10000,100,442882945,58,2328189907,2328189907,37143546,2328189965
0b001b01,0b00cb01,10000,100,442403018,50,2329315649,2329315649,37103312,2329315699
0b001001,0b00cb01,10000,100,441866045,30,2331245924,2331245924,37058292,2331245954
0b001401,0b00cb01,10000,100,442270374,34,2334069862,2334069862,37092190,2334069896
0b000d01,0b00cb01,10000,100,443033490,24,2334750100,2334750100,37156169,2334750124
0b002801,0b00cb01,10000,100,442117240,63,2335026225,2335026225,37079352,2335026288
0b003b01,0b00cb01,10000,100,442438326,94,2335920465,2335920465,37106271,2335920559
0b002a01,0b00cb01,10000,100,441873128,66,2336743867,2336743867,37058886,2336743933
0b000301,0b00cb01,10000,100,442791930,2,2336953335,2336953335,37135915,2336953337
0b002901,0b00cb01,10000,100,442776184,65,2337348370,2337348370,37134598,2337348435
0b003f01,0b00cb01,10000,100,443074581,98,2337408645,2337408645,37159614,2337408743
0b002101,0b00cb01,10000,100,442299518,57,2339885451,2339885451,37094633,2339885508
0b003801,0b00cb01,10000,100,442369121,91,2340367660,2340367660,37100470,2340367751
0b000201,0b00cb01,10000,100,441896576,2,2340661120,2340661120,37060850,2340661122
0b002b01,0b00cb01,10000,100,442641479,67,2340745425,2340745425,37123303,2340745492
0b001701,0b00cb01,10000,100,442429273,40,2341222478,2341222478,37105513,2341222518
0b001301,0b00cb01,10000,100,443143842,33,2341467240,2341467240,37165420,2341467273
0b000f01,0b00cb01,10000,100,442591048,29,2341526098,2341526098,37119077,2341526127
0b003501,0b00cb01,10000,100,442543046,85,2341889423,2341889423,37115052,2341889508
0b000401,0b00cb01,10000,100,442251144,5,2342060747,2342060747,37090579,2342060752
0b003a01,0b00cb01,10000,100,441749666,93,2342215926,2342215926,37048533,2342216019
0b003601,0b00cb01,10000,100,442696687,85,2342303308,2342303308,37127931,2342303393
0b000b01,0b00cb01,10000,100,442496649,22,2342677258,2342677258,37111160,2342677280
0b003001,0b00cb01,10000,100,442399593,70,2342759763,2342759763,37103023,2342759833
0b000a01,0b00cb01,10000,100,442817923,17,2343170494,2343170494,37138094,2343170511
0b001e01,0b00cb01,10000,100,442973506,52,2344005483,2344005483,37151140,2344005535
0b001801,0b00cb01,10000,100,443108392,42,2344743066,2344743066,37162449,2344743108
0b003e01,0b00cb01,10000,100,442185918,97,2345137089,2345137089,37085107,2345137186
0b002f01,0b00cb01,10000,100,442579512,70,2345229041,2345229041,37118108,2345229111
0b002601,0b00cb01,10000,100,442518303,62,2345427530,2345427530,37112977,2345427592
0b000c01,0b00cb01,10000,100,442512341,23,2345869658,2345869658,37112477,2345869681
0b001c01,0b00cb01,10000,100,442945507,51,2345942216,2345942216,37148793,2345942267
0b003701,0b00cb01,10000,100,442487955,90,2346340408,2346340408,37110430,2346340498
0b002501,0b00cb01,10000,100,442570820,61,2346519952,2346519952,37117378,2346520013
0b002d01,0b00cb01,10000,100,442448053,68,2346983425,2346983425,37107088,2346983493
0b003101,0b00cb01,10000,100,443686486,73,2347071442,2347071442,37210916,2347071515
0b003c01,0b00cb01,10000,100,442444248,94,2347662404,2347662404,37106768,2347662498
0b003301,0b00cb01,10000,100,441610566,80,2347760739,2347760739,37036871,2347760819
0b001f01,0b00cb01,10000,100,443136026,54,2347854560,2347854560,37164768,2347854614
0b002401,0b00cb01,10000,100,441908201,60,2347874576,2347874576,37061826,2347874636
0b002701,0b00cb01,10000,100,443416361,62,2347914529,2347914529,37188270,2347914591
0b002201,0b00cb01,10000,100,443065239,58,2348564195,2348564195,37158832,2348564253
0b001501,0b00cb01,10000,100,442086526,37,2348803712,2348803712,37076776,2348803749
0b002001,0b00cb01,10000,100,444188902,56,2348816089,2348816089,37253037,2348816145
0b001201,0b00cb01,10000,100,443214934,32,2349122315,2349122315,37171380,2349122347
0b001d01,0b00cb01,10000,100,442850231,51,2349148604,2349148604,37140806,2349148655
0b001901,0b00cb01,10000,100,442751047,42,2349289879,2349289879,37132491,2349289921
0b000801,0b00cb01,10000,100,442383141,14,2349941708,2349941708,37101645,2349941722
0b000901,0b00cb01,10000,100,442055212,15,2350127547,2350127547,37074152,2350127562
0b001101,0b00cb01,10000,100,442922748,30,2350281495,2350281495,37146884,2350281525
0b001a01,0b00cb01,10000,100,442510405,50,2350305640,2350305640,37112314,2350305690
0b002e01,0b00cb01,10000,100,442865639,69,2350336905,2350336905,37142096,2350336974
0b000e01,0b00cb01,10000,100,441988043,25,2350533887,2350533887,37068521,2350533912
0b000501,0b00cb01,10000,100,442305901,6,2350620753,2350620753,37095167,2350620759
0b000001,0b00cb01,10000,100,442572752,0,2351394650,2351394650,37117540,2351394650
0b003201,0b00cb01,10000,100,442825002,77,2351522292,2351522292,37138692,2351522369
0b000701,0b00cb01,10000,100,441813827,9,2351954209,2351954209,37053911,2351954218
0b002c01,0b00cb01,10000,100,441947869,68,2352310039,2352310039,37065149,2352310107
0b000101,0b00cb01,10000,100,443280227,1,2352386882,2352386882,37176857,2352386883
0b003d01,0b00cb01,10000,100,442413823,94,2353713092,2353713092,37104215,2353713186
