src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b002f01,0b00cb01,10000,100,442185918,75,2292643772,2292643772,37085107,2292643847
0b001101,0b00cb01,10000,100,442369121,40,2393055325,2393055325,37100470,2393055365
0b002c01,0b00cb01,10000,100,441988043,72,2404906024,2404906024,37068521,2404906096
0b001001,0b00cb01,10000,100,442055212,40,2419260555,2419260555,37074152,2419260595
0b002b01,0b00cb01,10000,100,443280227,70,2430426865,2430426865,37176857,2430426935
0b000201,0b00cb01,10000,100,442438326,8,2435127630,2435127630,37106271,2435127638
0b000c01,0b00cb01,10000,100,441873128,27,2441903472,2441903472,37058886,2441903499
0b000601,0b00cb01,10000,100,441813827,20,2442817975,2442817975,37053911,2442817995
0b002201,0b00cb01,10000,100,441800063,62,2442835869,2442835869,37052760,2442835931
0b000801,0b00cb01,10000,100,442251144,23,2444737812,2444737812,37090579,2444737835
0b001e01,0b00cb01,10000,100,442496649,57,2444800997,2444800997,37111160,2444801054
0b003d01,0b00cb01,10000,100,442444248,96,2445041479,2445041479,37106768,2445041575
0b000101,0b00cb01,10000,100,442299518,1,2445308953,2445308953,37094633,2445308954
0b003801,0b00cb01,10000,100,441610566,91,2445737849,2445737849,37036871,2445737940
0b003601,0b00cb01,10000,100,442560783,87,2446292897,2446292897,37116536,2446292984
0b003e01,0b00cb01,10000,100,441896576,96,2446343656,2446343656,37060850,2446343752
0b003701,0b00cb01,10000,100,442543046,88,2446562521,2446562521,37115052,2446562609
0b003501,0b00cb01,10000,100,442641479,85,2446910198,2446910198,37123303,2446910283
0b001c01,0b00cb01,10000,100,442945507,53,2447698432,2447698432,37148793,2447698485
0b003001,0b00cb01,10000,100,442850231,76,2447911518,2447911518,37140806,2447911594
0b003201,0b00cb01,10000,100,442413823,76,2448714834,2448714834,37104215,2448714910
0b001d01,0b00cb01,10000,100,441908201,57,2448753716,2448753716,37061826,2448753773
0b002901,0b00cb01,10000,100,442305901,69,2448842838,2448842838,37095167,2448842907
0b001501,0b00cb01,10000,100,441749666,45,2448988003,2448988003,37048533,2448988048
0b001401,0b00cb01,10000,100,441910758,45,2449029198,2449029198,37062038,2449029243
0b000e01,0b00cb01,10000,100,441947869,29,2449204849,2449204849,37065149,2449204878
0b003a01,0b00cb01,10000,100,442882945,94,2449267279,2449267279,37143546,2449267373
0b000b01,0b00cb01,10000,100,442825002,25,2449508639,2449508639,37138692,2449508664
0b002a01,0b00cb01,10000,100,442117240,70,2449896185,2449896185,37079352,2449896255
0b002001,0b00cb01,10000,100,442865639,60,2449994848,2449994848,37142096,2449994908
0b003301,0b00cb01,10000,100,441866045,79,2450141096,2450141096,37058292,2450141175
0b002601,0b00cb01,10000,100,442403018,66,2450255773,2450255773,37103312,2450255839
0b000d01,0b00cb01,10000,100,442973506,28,2450325792,2450325792,37151140,2450325820
0b000a01,0b00cb01,10000,100,442570820,24,2450387387,2450387387,37117378,2450387411
0b000301,0b00cb01,10000,100,442399593,12,2450529675,2450529675,37103023,2450529687
0b000701,0b00cb01,10000,100,442448053,22,2450592906,2450592906,37107088,2450592928
0b002d01,0b00cb01,10000,100,443108392,74,2450769905,2450769905,37162449,2450769979
0b003b01,0b00cb01,10000,100,442518303,95,2451292683,2451292683,37112977,2451292778
0b001701,0b00cb01,10000,100,443686486,47,2451299501,2451299501,37210916,2451299548
0b001801,0b00cb01,10000,100,442510405,47,2451399179,2451399179,37112314,2451399226
0b000401,0b00cb01,10000,100,442591048,15,2451400970,2451400970,37119077,2451400985
0b002301,0b00cb01,10000,100,442791930,63,2451404519,2451404519,37135915,2451404582
0b003901,0b00cb01,10000,100,442579512,93,2451487816,2451487816,37118108,2451487909
0b003c01,0b00cb01,10000,100,442086526,96,2451493694,2451493694,37076776,2451493790
0b001a01,0b00cb01,10000,100,442383141,49,2451567385,2451567385,37101645,2451567434
0b000901,0b00cb01,10000,100,442696687,24,2451719457,2451719457,37127931,2451719481
0b001901,0b00cb01,10000,100,442727168,48,2451739635,2451739635,37130488,2451739683
0b003f01,0b00cb01,10000,100,442922748,99,2451763844,2451763844,37146884,2451763943
0b001f01,0b00cb01,10000,100,443143842,58,2451803567,2451803567,37165420,2451803625
0b002401,0b00cb01,10000,100,442270374,64,2451851200,2451851200,37092190,2451851264
0b001601,0b00cb01,10000,100,442429273,47,2451878726,2451878726,37105513,2451878773
0b001201,0b00cb01,10000,100,442817923,43,2452005869,2452005869,37138094,2452005912
0b002e01,0b00cb01,10000,100,443033490,75,2452012449,2452012449,37156169,2452012524
0b003101,0b00cb01,10000,100,442512341,76,2452302238,2452302238,37112477,2452302314
0b002801,0b00cb01,10000,100,443416361,68,2452642930,2452642930,37188270,2452642998
0b002701,0b00cb01,10000,100,442572752,68,2452723376,2452723376,37117540,2452723444
0b002101,0b00cb01,10000,100,442751047,61,2452779835,2452779835,37132491,2452779896
0b000f01,0b00cb01,10000,100,442487955,36,2452784402,2452784402,37110430,2452784438
0b000501,0b00cb01,10000,100,443214934,17,2452869525,2452869525,37171380,2452869542
0b001301,0b00cb01,10000,100,443074581,44,2453025209,2453025209,37159614,2453025253
0b001b01,0b00cb01,10000,100,443136026,52,2453131319,2453131319,37164768,2453131371
0b003401,0b00cb01,10000,100,442776184,85,2453665002,2453665002,37134598,2453665087
0b000001,0b00cb01,10000,100,443065239,0,2454372914,2454372914,37158832,2454372914
0b002501,0b00cb01,10000,100,444188902,65,2455151309,2455151309,37253037,2455151374
